MINISTRY,SECTOR,SLNO,PROJECT_NAME,AGENCY,PROJECT_CODES,STATE,DATE_OF_APPROVAL,START_DATE,ORIGINAL_TARGET_DOC,REVISED_DOC,ORIGINAL_COST_RS_CRORE,REVISED_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PCT,SOURCE_PAGE,REPORT_MONTH,SOURCE_FILE,PHYSICAL_PROGRESS_PERCENT,PROJECT_ID
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1800.0,"AMENDED BHARATNET PROGRAM - KTK, GOA, PY",DEPARTMENT OF TELECOMMUNICATIONS,108841 | - | -,PAN INDIA,1-08-23,1-06-25,1-06-28,,3742.0,3742.0,435.31,0.0,157.0,JUNE,Project_Monitoring_June_2026.xlsx,0.0,108841
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1714.0,"AMENDED BHARATNET PROGRAM - KTK, GOA, PY",DEPARTMENT OF TELECOMMUNICATIONS,108841 | - | -,PAN INDIA,1-08-23,1-06-25,1-06-28,,3742.0,3742.0,435.31,0.0815,149.0,JULY,Project_Monitoring_July_2026.xlsx,8.15,108841
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1715.0,AMENDED BHARATNET PROGRAM - HR,DEPARTMENT OF TELECOMMUNICATIONS,124199 | - | -,PAN INDIA,1-08-23,1-03-26,1-03-29,,837.0,837.0,83.68,0.0,149.0,JULY,Project_Monitoring_July_2026.xlsx,0.0,124199
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1716.0,AMENDED BHARATNET PROGRAM - PB,DEPARTMENT OF TELECOMMUNICATIONS,171218 | - | -,PAN INDIA,1-08-23,1-02-25,1-02-28,,1245.0,1245.0,0.0,0.2658,149.0,JULY,Project_Monitoring_July_2026.xlsx,26.58,171218
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1717.0,"AMENDED BHARATNET PROGRAM - MP, DD AND DNH",DEPARTMENT OF TELECOMMUNICATIONS,175860 | - | -,PAN INDIA,1-06-23,1-05-25,1-05-28,,4943.0,4943.0,562.13,0.084,149.0,JULY,Project_Monitoring_July_2026.xlsx,8.4,175860
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1718.0,AMENDED BHARATNET PROGRAM - WB & ANI,DEPARTMENT OF TELECOMMUNICATIONS,210914 | - | -,PAN INDIA,1-08-23,1-02-25,1-02-28,,1674.0,1674.0,223.41,0.1513,149.0,JULY,Project_Monitoring_July_2026.xlsx,15.129999999999999,210914
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1806.0,AMENDED BHARATNET PROGRAM - UP (EAST),DEPARTMENT OF TELECOMMUNICATIONS,222253 | - | -,UTTAR PRADESH,1-08-23,1-02-25,1-02-28,,5008.0,5008.0,502.0,0.0,158.0,JUNE,Project_Monitoring_June_2026.xlsx,0.0,222253
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1736.0,AMENDED BHARATNET PROGRAM - UP (EAST),DEPARTMENT OF TELECOMMUNICATIONS,222253 | - | -,UTTAR PRADESH,1-08-23,1-02-25,1-02-28,,5008.0,5008.0,502.0,0.0765,150.0,JULY,Project_Monitoring_July_2026.xlsx,7.6499999999999995,222253
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1719.0,AMENDED BHARATNET PROGRAM - AS,DEPARTMENT OF TELECOMMUNICATIONS,240484 | - | -,PAN INDIA,1-08-23,1-03-26,1-03-29,,832.0,832.0,83.16,0.0,149.0,JULY,Project_Monitoring_July_2026.xlsx,0.0,240484
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,272.0,JAIPUR METRO RAIL PROJECT PHASE 2 (PRAHLADPURA TO TODI MOD),JAIPUR METRO RAIL CORPORATION,245986 | - | -,RAJASTHAN,1-04-26,1-04-26,1-10-31,,13037.66,13037.66,1.79,0.0179,68.0,JULY,Project_Monitoring_July_2026.xlsx,1.79,245986
MINISTRY OF POWER,ELECTRICITY GENERATION,175.0,"MEJA THERMAL POWER PROJECT, STAGE-II , (3X800 MW)",NATIONAL THERMAL POWER CORPORATION [NTPC],298178 | - | -,UTTAR PRADESH,1-06-26,1-06-26,2032-12-01,,38358.0,38358.0,1002.73,0.0002,63.0,JULY,Project_Monitoring_July_2026.xlsx,0.02,298178
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1720.0,AMENDED BHARATNET PROGRAM - OD,DEPARTMENT OF TELECOMMUNICATIONS,317725 | - | -,PAN INDIA,1-08-23,1-07-26,1-07-29,,1713.0,1713.0,0.0,0.0,149.0,JULY,Project_Monitoring_July_2026.xlsx,0.0,317725
MINISTRY OF STEEL,STEEL,516.0,STAMP CHARGE BATTERY NO.12 BY-PRODUCT PLANT AT IISCO STEEL PLANT,STEEL AUTHORITY OF INDIA LIMITED (SAIL,364934 | - | -,WEST BENGAL,1-01-25,1-02-25,1-07-28,,999.46,999.46,70.37,0.1872,80.0,JULY,Project_Monitoring_July_2026.xlsx,18.72,364934
