REPORT_MONTH,COST_OVERRUN_PCT,SCHEDULE_CHANGE_DAYS,DELAY_INDICATOR
APRIL,0.0,,0
APRIL,5.236319597157153,1097.0,1
APRIL,19.971224357189268,2924.0,1
APRIL,0.0,1098.0,1
APRIL,0.0,1099.0,1
APRIL,71.16884130810294,1458.0,1
APRIL,-94.3456495828367,4742.0,1
APRIL,0.0,365.0,1
APRIL,0.0,2930.0,1
APRIL,0.0,2188.0,1
APRIL,39.94664079553723,1091.0,1
APRIL,0.0,,0
APRIL,4.759041116888924,2192.0,1
APRIL,0.0,1461.0,1
APRIL,54.23991459908056,1467.0,1
APRIL,32.82813196966801,2548.0,1
APRIL,0.0,2916.0,1
APRIL,0.0,2551.0,1
APRIL,0.0,2548.0,1
APRIL,0.0,1095.0,1
APRIL,26.35545139170893,2184.0,1
APRIL,0.0,0.0,0
APRIL,0.0,0.0,0
APRIL,-0.0018685302141318,1096.0,1
APRIL,-0.1557850516366158,364.0,1
APRIL,0.0,9.0,1
APRIL,0.0,3653.0,1
APRIL,0.0,369.0,1
APRIL,0.0,364.0,1
APRIL,8.0430077497731,367.0,1
JULY,0.0,365.0,1
JULY,0.0,0.0,0
JULY,241.4179538765941,3646.0,1
JULY,67.37335092348286,730.0,1
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,0.0,0
JULY,0.0,,0
JULY,0.0,0.0,0
JULY,-0.0153583617747494,0.0,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,-371.0,0
JULY,0.0,0.0,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,,0
JULY,0.0,0.0,0
JUNE,-3.8727524204702575,732.0,1
JUNE,47.41185990058952,1456.0,1
JUNE,6.212083282289458,371.0,1
JUNE,-1.6714076060369811,1465.0,1
JUNE,0.0,,0
JUNE,-22.10327330613869,368.0,1
JUNE,26.038914557167946,361.0,1
JUNE,0.0,367.0,1
JUNE,0.0,367.0,1
JUNE,21.03871312890596,3652.0,1
JUNE,0.0,1470.0,1
JUNE,20.6143102194441,365.0,1
JUNE,154.08400000000003,,0
JUNE,-14.258770686610116,365.0,1
JUNE,0.0,1097.0,1
JUNE,86.687306501548,1095.0,1
JUNE,-14.340290221974833,360.0,1
JUNE,-29.782532325510235,0.0,0
JUNE,0.0,8.0,1
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,-16.82383267530265,8.0,1
JUNE,0.0,,0
JUNE,24.748584083647987,734.0,1
JUNE,-0.1123141201311829,1458.0,1
JUNE,0.0,365.0,1
JUNE,18.97302001740644,1461.0,1
JUNE,1.9014871486289109,724.0,1
JUNE,-1.5284526064399198,2185.0,1
JUNE,1.3417812528084894,736.0,1
JUNE,0.0,729.0,1
JUNE,90.45538461538465,,0
JUNE,33.01440432970284,10.0,1
JUNE,-19.60466335076981,728.0,1
JUNE,104.15384615384616,,0
JUNE,0.0,4757.0,1
JUNE,-9.224744795013978,0.0,0
JUNE,50.14212820314857,1101.0,1
JUNE,-13.486364230978436,4.0,1
JUNE,0.0,0.0,0
JUNE,0.0,4.0,1
JUNE,43.75752625681943,6.0,1
JUNE,0.0,729.0,1
JUNE,0.0,-1096.0,0
JUNE,68.72105915345983,1463.0,1
JUNE,-17.041472423626963,2197.0,1
JUNE,-15.145296519029014,9.0,1
JUNE,0.0,0.0,0
JUNE,0.0,,0
JUNE,1.34124493501184,0.0,0
JUNE,14.445011048784623,365.0,1
JUNE,14.587209302325585,0.0,0
JUNE,22.427100785403717,731.0,1
JUNE,0.0,1092.0,1
JUNE,61.61614129669488,1461.0,1
JUNE,0.6128105045880391,0.0,0
JUNE,0.0,731.0,1
JUNE,-15.915088927137123,7.0,1
JUNE,-8.322992015935432e-05,,0
JUNE,15.820780116076506,366.0,1
JUNE,-32.06241348936707,0.0,0
JUNE,-28.314385150812072,0.0,0
JUNE,0.0,2196.0,1
JUNE,7.824579194301733e-05,,0
JUNE,36.840646651270205,1096.0,1
JUNE,-6.523638360541159,729.0,1
JUNE,1.0637704179098155,7.0,1
JUNE,-68.42293085908163,362.0,1
JUNE,0.0,722.0,1
JUNE,101.92000000000002,,0
JUNE,29.141497434310104,1822.0,1
JUNE,-0.0689834899514119,370.0,1
JUNE,3.78912530439933,366.0,1
JUNE,2.295005508334872,1096.0,1
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,13.784660934920009,364.0,1
JUNE,-3.7511845565765416,0.0,0
JUNE,5.1306912293459375,369.0,1
JUNE,-1.4275776547802648,370.0,1
JUNE,-0.0002037112108361,368.0,1
JUNE,-23.92808351140226,362.0,1
JUNE,0.0,,0
JUNE,-13.604421345435917,733.0,1
JUNE,100.0,,0
JUNE,0.0,0.0,0
JUNE,-11.815240736209658,1099.0,1
JUNE,0.0,11.0,1
JUNE,0.0,0.0,0
JUNE,-2.292293450590148,356.0,1
JUNE,8.106017261247606,0.0,0
JUNE,8.125269978401729,724.0,1
JUNE,16.63898916967508,0.0,0
JUNE,-5.642628533196191,1092.0,1
JUNE,0.0,-361.0,0
JUNE,0.2202516714596645,0.0,0
JUNE,-30.97280603928969,730.0,1
JUNE,38.87963806591472,1105.0,1
JUNE,-12.674971105688972,732.0,1
JUNE,-14.515807591267334,373.0,1
JUNE,0.0,0.0,0
JUNE,0.2454630060493268,0.0,0
JUNE,4.8950622924853,369.0,1
JUNE,-29.701876608297244,727.0,1
JUNE,0.0,1094.0,1
JUNE,0.0,,0
JUNE,-16.119578744530227,368.0,1
JUNE,0.0,0.0,0
JUNE,0.0,368.0,1
JUNE,6.568586995882002,727.0,1
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,-16.647002433448854,370.0,1
JUNE,8.529176760054282,0.0,0
JUNE,0.0,,0
JUNE,4.427307175457931,3.0,1
JUNE,-25.933664142073653,1094.0,1
JUNE,0.0,0.0,0
JUNE,79.77430303733576,363.0,1
JUNE,9.122430043463396,359.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,19.12865852116061,1103.0,1
JUNE,-18.19932200612447,367.0,1
JUNE,-3.6458333333333335,369.0,1
JUNE,-12.562709488027696,366.0,1
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,5.936885372698948,1093.0,1
JUNE,59.41407645587711,729.0,1
JUNE,9.823302416897969,374.0,1
JUNE,0.0,0.0,0
JUNE,0.0,4.0,1
JUNE,-1.63321832356348,2187.0,1
JUNE,-17.29444896701943,370.0,1
JUNE,-12.432016700543874,10.0,1
JUNE,0.0,0.0,0
JUNE,-10.652563981490232,367.0,1
JUNE,8.628926749672932,1092.0,1
JUNE,-16.502177648140005,364.0,1
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,31.145117504233365,721.0,1
JUNE,-18.10643899318456,725.0,1
JUNE,-12.56562883998532,369.0,1
JUNE,16.028288439750003,364.0,1
JUNE,0.0,0.0,0
JUNE,-20.09509654422504,727.0,1
JUNE,-0.8808022922636041,1096.0,1
JUNE,-0.0368421052631543,0.0,0
JUNE,27.73921448027413,0.0,0
JUNE,0.0,1459.0,1
JUNE,0.0,-359.0,0
JUNE,-32.33039884139098,728.0,1
JUNE,21.80964645435969,732.0,1
JUNE,-15.055563885973244,374.0,1
JUNE,2.9257670519663392,6.0,1
JUNE,-14.104359261981214,371.0,1
JUNE,40.12779455734818,1102.0,1
JUNE,8.74439461883408,0.0,0
JUNE,0.0,366.0,1
JUNE,-3.0785771474322297,730.0,1
JUNE,-14.08570560226928,366.0,1
JUNE,19.347482957794217,728.0,1
JUNE,27.34734121221004,2555.0,1
JUNE,0.0,0.0,0
JUNE,40.8962942667306,1462.0,1
JUNE,0.0,733.0,1
JUNE,34.729937898866936,739.0,1
JUNE,0.0,2.0,1
JUNE,15.032953105196452,1463.0,1
JUNE,-57.574667146455546,6206.0,1
JUNE,-10.55886233394768,365.0,1
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,136.58153846153846,,0
JUNE,0.0,,0
JUNE,0.0,370.0,1
JUNE,1.953016926985096,1828.0,1
JUNE,6.014276639498704,1096.0,1
JUNE,6.021211084502235,373.0,1
JUNE,116.06457242582896,731.0,1
JUNE,-1.843610934520024,365.0,1
JUNE,-20.59704009782013,1097.0,1
JUNE,69.23076923076923,,0
JUNE,30.134561901283806,729.0,1
JUNE,0.3990376638460216,1094.0,1
JUNE,-1.9238088647451652,732.0,1
JUNE,0.0,365.0,1
JUNE,-32.85050520662275,722.0,1
JUNE,47.92887281494876,729.0,1
JUNE,-26.49748832372304,370.0,1
JUNE,0.0,,0
JUNE,67.70091301294272,731.0,1
JUNE,-9.3307172443863,356.0,1
JUNE,0.0,0.0,0
JUNE,0.0,735.0,1
JUNE,3.463806037569179,734.0,1
JUNE,54.59136523654754,367.0,1
JUNE,0.0,0.0,0
JUNE,17.911179602129437,2194.0,1
JUNE,16.916713624961023,1822.0,1
JUNE,7.332058383891664,735.0,1
JUNE,0.0,366.0,1
JUNE,0.0,4.0,1
JUNE,-4.7120212105827255,1827.0,1
JUNE,37.5,1092.0,1
JUNE,14.265173366594777,0.0,0
JUNE,0.0,371.0,1
JUNE,0.0,0.0,0
JUNE,9.603960396039604,362.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,18.848610226433596,731.0,1
JUNE,-11.114434024736711,0.0,0
JUNE,0.0,,0
JUNE,0.0,365.0,1
JUNE,0.0,,0
JUNE,0.0,1819.0,1
JUNE,-11.167329011972123,732.0,1
JUNE,2.6248813734794227,734.0,1
JUNE,18.928226585130357,1090.0,1
JUNE,12.07847441349981,364.0,1
JUNE,0.0060261131570082,367.0,1
JUNE,-46.7294161028277,725.0,1
JUNE,36.01700412130404,736.0,1
JUNE,4.895141113289027,2556.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,60.51870762676042,2552.0,1
JUNE,6.205669272744134,735.0,1
