MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,ORIGINAL_DURATION_DAYS,PROGRESS_CHANGE,EXPENDITURE_CHANGE,COST_OVERRUN_PCT
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,3742.0,435.31,8.15,1095.0,,,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,3742.0,435.31,0.0,1095.0,-8.15,0.0,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,837.0,83.68,0.0,1096.0,,,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1245.0,0.0,26.58,1095.0,,,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,4943.0,562.13,8.4,1095.0,,,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1674.0,223.41,15.13,1095.0,,,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,UTTAR PRADESH,DEPARTMENT OF TELECOMMUNICATIONS,5008.0,502.0,7.649999999999999,1095.0,,,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,UTTAR PRADESH,DEPARTMENT OF TELECOMMUNICATIONS,5008.0,502.0,0.0,1095.0,-7.649999999999999,0.0,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,832.0,83.16,0.0,1096.0,,,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,RAJASTHAN,JAIPUR METRO RAIL CORPORATION,13037.66,1.79,1.79,1832.0,,,0.0
MINISTRY OF POWER,ELECTRICITY GENERATION,UTTAR PRADESH,NATIONAL THERMAL POWER CORPORATION [NTPC],38358.0,1002.73,0.02,2521.0,,,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1713.0,0.0,0.0,1096.0,,,0.0
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED (SAIL,999.46,70.37,18.72,1100.0,,,0.0
