MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,DADRA & NAGAR HAVELI AND DAMAN & DIU,MINISTRY OF HOUSING AND URBAN AFFAIRS,210.0,0.0,20.0,2021-01-12,2024-01-03,,
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,"MULTI-STATES (CHHATTISGARH, MADHYA PRADESH, MAHARASHTRA, ODISHA)",MINISTRY OF PETROLEUM & NATURAL GAS,7844.25,7070.1,98.9,2020-01-06,2023-01-05,,
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,GUJARAT,GUJARAT METRO RAIL CORPORATION LIMITED [GMRCL],10773.0,12520.65,99.99,2015-01-02,2018-01-03,,
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,MAHARASHTRA,MINISTRY OF HOUSING & URBAN AFFAIRS,204.55,186.13,99.0,2018-01-08,2023-01-03,,
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,MAHARASHTRA,MINISTRY OF HOUSING & URBAN AFFAIRS,180.24,172.22,98.0,2018-01-04,2023-01-03,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1024.69,882.1,100.0,2020-01-02,2022-01-08,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],839.0,8.42,100.0,2011-01-06,2013-01-12,,
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,RAJASTHAN,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],428.3,415.45,98.4,2023-01-11,2025-01-06,,
MINISTRY OF COAL,COAL,JHARKHAND,MINISTRY OF COAL,334.27,162.75,51.81,2016-01-04,2018-01-04,,
MINISTRY OF COAL,COAL,WEST BENGAL,MINISTRY OF COAL,384.57,363.14,97.6,2019-01-03,2020-01-09,,
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,MINISTRY OF PETROLEUM & NATURAL GAS,412.3,457.64,94.9,2021-01-05,2023-01-10,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,7222.95,10516.63,92.0,2018-01-04,2028-01-06,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,848.07,690.49,69.63000000000001,2018-01-04,2020-01-06,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,2407.67,2779.38,80.54,2019-01-02,2023-01-06,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,580.79,713.46,76.22,2018-01-04,2022-01-06,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,GUJARAT,"NARMADA AND WATER RESOURCES, WATER SUPPLY AND KALPSAR DEPARTMENT-GJ",5021.76,4956.98,90.3,2017-01-04,2019-01-12,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCE-MP,648.09,208.06,49.78,2017-01-04,2019-01-12,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,743.73,459.06,53.93,2017-01-04,2019-01-12,,
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,UTTAR PRADESH,IRRIGATION & WATER RESOURCES-UP,1672.7,22.24,1.76,2017-01-04,2019-01-12,,
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (DADRA & NAGAR HAVELI AND DAMAN & DIU, GUJARAT, MAHARASHTRA)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],4546.26,4528.07,99.9,2022-01-07,2023-01-06,,
MINISTRY OF COAL,ELECTRICITY GENERATION,UTTAR PRADESH,NLC INDIA LIMITED [NLCIL],17237.8,21237.52,95.68,2016-01-08,2020-01-11,,
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,"MULTI-STATES (BIHAR, JHARKHAND)",HINDUSTAN PETROLEUM CORPORATION LIMITED,1377.0,375.17,37.0,2022-01-06,2030-01-06,,
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,WEST BENGAL,HINDUSTAN PETROLEUM CORPORATION LIMITED,2628.0,388.06,36.3,2022-01-06,2030-01-06,,
MINISTRY OF COAL,COAL,WEST BENGAL,ECL - CIL,535.18,5.74,14.61,2018-01-05,2027-01-03,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1142.6,65.67,0.0,2025-01-06,2027-01-06,,
MINISTRY OF COAL,ELECTRICITY GENERATION,TAMIL NADU,NLC INDIA LIMITED [NLCIL],218.03,169.95,100.0,2024-01-02,2025-01-03,,
MINISTRY OF COAL,COAL,ODISHA,MCL - CIL,479.15,281.57,67.58,2014-01-05,2019-01-03,,
MINISTRY OF COAL,ELECTRICITY GENERATION,RAJASTHAN,NLC INDIA LIMITED [NLCIL],1813.0,1753.07,100.0,2023-01-03,2024-01-09,,
MINISTRY OF LABOUR AND EMPLOYMENT,HEALTHCARE,MAHARASHTRA,EMPLOYEE'S STATE INSURANCE COMPANY [ESIC],429.25,341.9,78.0,2023-01-03,2025-01-09,,
MINISTRY OF LABOUR AND EMPLOYMENT,HEALTHCARE,ASSAM,EMPLOYEE'S STATE INSURANCE COMPANY [ESIC],143.23,130.08,98.0,2021-01-10,2025-01-04,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,341.63,10.9,5.1,2026-01-04,2026-01-10,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1418.16,143.72,0.0,2026-01-07,2028-01-07,,
MINISTRY OF RAILWAYS,RAILWAYS,TAMIL NADU,CAOC/SR SR MOR,601.43,351.21,14.000000000000002,2016-01-06,2021-01-07,,
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",CPM/KOTA WCR MOR,3032.0,4498.51,86.0,2001-01-08,2025-01-12,,
DEPARTMENT FOR PROMOTION OF INDUSTRY & INTERNAL TRADE,REAL ESTATE,PUNJAB,NATIONAL INDUSTRIAL CORRIDOR DEVELOPMENT CORPORATION,1367.72,0.0,3.4000000000000004,2026-01-03,2028-01-09,,
DEPARTMENT FOR PROMOTION OF INDUSTRY & INTERNAL TRADE,REAL ESTATE,UTTARAKHAND,NATIONAL INDUSTRIAL CORRIDOR DEVELOPMENT CORPORATION,1265.37,0.0,3.2300000000000004,2026-01-03,2028-01-09,,
MINISTRY OF STEEL,STEEL,ODISHA,STEEL AUTHORITY OF INDIA LIMITED (SAIL,1140.07,207.56,22.59,2024-01-10,2028-01-03,,
MINISTRY OF STEEL,STEEL,ODISHA,STEEL AUTHORITY OF INDIA LIMITED (SAIL,2584.41,1182.92,54.16,2024-01-10,2028-01-03,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,837.0,83.68,0.0,2026-01-03,2029-01-03,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1245.0,0.0,26.58,2025-01-02,2028-01-02,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,4943.0,562.13,8.4,2025-01-05,2028-01-05,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1674.0,223.41,15.13,2025-01-02,2028-01-02,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1168.0,123.28,0.61,2025-01-06,2028-01-06,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,832.0,83.16,0.0,2026-01-03,2029-01-03,,
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,RAJASTHAN,JAIPUR METRO RAIL CORPORATION,13037.66,1.79,1.79,2026-01-04,2031-01-10,,
MINISTRY OF POWER,ELECTRICITY GENERATION,UTTAR PRADESH,NATIONAL THERMAL POWER CORPORATION [NTPC],38358.0,1002.73,0.02,2026-01-06,2032-12-01,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1713.0,0.0,0.0,2026-01-07,2029-01-07,,
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED (SAIL,999.46,70.37,18.72,2025-01-02,2028-01-07,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,160.0,0.0,0.0,2026-01-06,2029-01-06,,
MINISTRY OF STEEL,STEEL,CHHATTISGARH,STEEL AUTHORITY OF INDIA LIMITED (SAIL,192.21,63.8,48.010000000000005,2025-01-06,2026-01-12,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,2839.0,283.93,0.0,2026-01-03,2029-01-03,,
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1550.0,222.77,17.76,2025-01-03,2028-01-03,,
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (CHHATTISGARH, MAHARASHTRA)",CAOC/SECR SECR MOR,169.06,65.43,10.0,2023-01-03,2026-01-11,,
