PROJECT_ID,MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
108841.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,3742.0,435.31,0.0,2025-01-06,2028-01-06,,
108841.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,3742.0,435.31,8.15,2025-01-06,2028-01-06,8.15,0.0
124199.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,837.0,83.68,0.0,2026-01-03,2029-01-03,,
171218.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1245.0,0.0,26.58,2025-01-02,2028-01-02,,
175860.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,4943.0,562.13,8.4,2025-01-05,2028-01-05,,
210914.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1674.0,223.41,15.13,2025-01-02,2028-01-02,,
222253.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,UTTAR PRADESH,DEPARTMENT OF TELECOMMUNICATIONS,5008.0,502.0,0.0,2025-01-02,2028-01-02,,
222253.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,UTTAR PRADESH,DEPARTMENT OF TELECOMMUNICATIONS,5008.0,502.0,7.649999999999999,2025-01-02,2028-01-02,7.649999999999999,0.0
240484.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,832.0,83.16,0.0,2026-01-03,2029-01-03,,
245986.0,MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,RAJASTHAN,JAIPUR METRO RAIL CORPORATION,13037.66,1.79,1.79,2026-01-04,2031-01-10,,
298178.0,MINISTRY OF POWER,ELECTRICITY GENERATION,UTTAR PRADESH,NATIONAL THERMAL POWER CORPORATION [NTPC],38358.0,1002.73,0.02,2026-01-06,2032-12-01,,
317725.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS,1713.0,0.0,0.0,2026-01-07,2029-01-07,,
364934.0,MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED (SAIL,999.46,70.37,18.72,2025-01-02,2028-01-07,,
400005.0,MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (DADRA & NAGAR HAVELI AND DAMAN & DIU, GUJARAT, MAHARASHTRA)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],4546.26,4528.07,99.9,2022-01-07,2023-01-06,,
400006.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,SOUTH EASTERN RAILWAY [SER] - I,808.99,701.15,38.0,2021-01-10,2025-01-10,,
400006.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,SOUTH EASTERN RAILWAY [SER] - I,808.99,743.46,40.0,2021-01-10,2025-01-10,2.0,42.31000000000006
400006.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,SOUTH EASTERN RAILWAY [SER] - I,808.99,743.46,40.0,2021-01-10,2025-01-10,0.0,0.0
400006.0,MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,SOUTH EASTERN RAILWAY [SER] - I,808.99,743.46,44.0,2021-01-10,2025-01-10,4.0,0.0
400010.0,MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,LADAKH,AIRPORT AUTHORITY OF INDIA [AAI],480.0,501.81,78.9,2018-01-09,2021-01-09,,
400010.0,MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,LADAKH,AIRPORT AUTHORITY OF INDIA [AAI],480.0,506.13,79.2,2018-01-09,2021-01-09,0.29999999999999716,4.319999999999993
400010.0,MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,LADAKH,AIRPORT AUTHORITY OF INDIA [AAI],480.0,509.41,83.39999999999999,2018-01-09,2021-01-09,4.199999999999989,3.2800000000000296
400010.0,MINISTRY OF CIVIL AVIATION,AVIATION & AVIATION INFRASTRUCTURE,LADAKH,AIRPORT AUTHORITY OF INDIA [AAI],480.0,512.55,88.0,2018-01-09,2021-01-09,4.6000000000000085,3.1399999999999295
400012.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,"MULTI-STATES (GUJARAT, MADHYA PRADESH, UTTAR PRADESH)",MINISTRY OF PETROLEUM & NATURAL GAS,10088.0,8529.58,95.2,2018-01-12,2021-01-12,,
400012.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,"MULTI-STATES (GUJARAT, MADHYA PRADESH, UTTAR PRADESH)",MINISTRY OF PETROLEUM & NATURAL GAS,10088.0,8585.71,95.4,2018-01-12,2021-01-12,0.20000000000000284,56.1299999999992
400012.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,"MULTI-STATES (GUJARAT, MADHYA PRADESH, UTTAR PRADESH)",MINISTRY OF PETROLEUM & NATURAL GAS,10088.0,8672.35,95.7,2018-01-12,2021-01-12,0.29999999999999716,86.64000000000124
400012.0,MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,UTTAR PRADESH,INDIAN OIL CORPORATION LIMITED [IOCL],10088.0,8504.21,96.0,2018-01-12,2021-01-12,0.29999999999999716,-168.14000000000124
400013.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS [DOT],26316.0,9791.8,84.0,2022-01-07,2024-01-06,,
400013.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS [DOT],26316.0,9791.8,85.0,2022-01-07,2024-01-06,1.0,0.0
400013.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS [DOT],26316.0,8553.1,85.0,2022-01-07,2024-01-06,0.0,-1238.699999999999
400013.0,DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,DEPARTMENT OF TELECOMMUNICATIONS [DOT],26316.0,8722.82,87.7,2022-01-07,2024-01-06,2.700000000000003,169.71999999999935
400018.0,MINISTRY OF COAL,COAL,JHARKHAND,ECL - CIL,859.41,455.25,63.22,2022-01-08,2029-01-03,,
400018.0,MINISTRY OF COAL,COAL,JHARKHAND,ECL - CIL,859.41,455.25,63.22,2022-01-08,2029-01-03,0.0,0.0
400018.0,MINISTRY OF COAL,COAL,JHARKHAND,ECL - CIL,859.41,455.95,63.3,2022-01-08,2029-01-03,0.0799999999999983,0.6999999999999886
400018.0,MINISTRY OF COAL,COAL,JHARKHAND,EASTERN COAL FIELDS LIMITED [ECL],859.41,455.95,63.3,2022-01-08,2029-01-03,0.0,0.0
400019.0,MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,492.76,519.29,25.0,2023-01-04,2026-01-12,,
400019.0,MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,492.76,542.26,25.0,2023-01-04,2026-01-12,0.0,22.970000000000027
