MINISTRY,SECTOR,SLNO,PROJECT_NAME,AGENCY,PROJECT_CODES,STATE,DATE_OF_APPROVAL,START_DATE,ORIGINAL_TARGET_DOC,REVISED_DOC,ORIGINAL_COST_RS_CRORE,REVISED_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PCT,SOURCE_PAGE,REPORT_MONTH,SOURCE_FILE,PHYSICAL_PROGRESS_PERCENT,COST_OVERRUN_PCT,EXPENDITURE_PCT,PROGRESS_GAP,ORIGINAL_DURATION_DAYS,SCHEDULE_CHANGE_DAYS,PROGRESS_CHANGE,EXPENDITURE_CHANGE,REVISED_COST_CHANGE,DELAY_INDICATOR
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,291.0,STORM WATER DRAINAG DEVELOPMENT PROJECT,MINISTRY OF HOUSING AND URBAN AFFAIRS,702355 | - | -,DADRA & NAGAR HAVELI AND DAMAN & DIU,1-08-20,2021-01-12,2024-01-03,,210.0,210.0,0.0,0.2,69.0,APRIL,Project_Monitoring_April_2026.xlsx,20.0,0.0,0.0,-20.0,1086.0,,,,,0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,421.0,MUMBAI NAGPUR JHARSUGUDA PIPELINE PROJECT,MINISTRY OF PETROLEUM & NATURAL GAS,701354 | N16000398 | 2523,"MULTI-STATES (CHHATTISGARH, MADHYA PRADESH, MAHARASHTRA, ODISHA)",1-06-20,2020-01-06,2023-01-05,2026-01-06,7844.25,8255.0,7070.1,0.989,75.0,APRIL,Project_Monitoring_April_2026.xlsx,98.9,5.236319597157153,90.13098766612487,-8.76901233387514,1095.0,1097.0,,,,1
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,267.0,AHMEDABAD METRO RAIL PROJECT [PHASE-I],GUJARAT METRO RAIL CORPORATION LIMITED [GMRCL],702639 | N28000122 | 1749,GUJARAT,1-11-14,2015-01-02,2018-01-03,2026-01-05,10773.0,12924.5,12520.65,0.9999,68.0,APRIL,Project_Monitoring_April_2026.xlsx,99.99,19.971224357189268,116.2225006961849,16.2325006961849,1097.0,2924.0,,,,1
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,301.0,MIRA-BHAYANDAR WATER SUPPLY INFRASTRUCTURE PROJECT,MINISTRY OF HOUSING & URBAN AFFAIRS,702840 | - | -,MAHARASHTRA,1-11-16,2018-01-08,2023-01-03,2026-01-05,204.55,204.55,186.13,0.99,69.0,APRIL,Project_Monitoring_April_2026.xlsx,99.0,0.0,90.9948667807382,-8.005133219261793,1821.0,1098.0,,,,1
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,303.0,SOLAPUR SEWERAGE MANAGEMENT INFRASTRUCTURE PROJECT,MINISTRY OF HOUSING & URBAN AFFAIRS,702854 | - | -,MAHARASHTRA,1-03-17,2018-01-04,2023-01-03,2026-01-06,180.24,180.24,172.22,0.98,69.0,APRIL,Project_Monitoring_April_2026.xlsx,98.0,0.0,95.55037727474478,-2.4496227252552245,1825.0,1099.0,,,,1
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,1071.0,4L OF DWARKA-KHAMBALIYA-DEVARIYA SECTION FROM KM 203.500 TO KM 176.500 AND FROM KM 171.800 TO KM 125.000 OF NH-151A,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],619137 | - | 11804,GUJARAT,1-01-19,2020-01-02,2022-01-08,2026-01-05,1024.69,1753.95,882.1,1.0,109.0,APRIL,Project_Monitoring_April_2026.xlsx,100.0,71.16884130810294,86.08457191931218,-13.915428080687818,737.0,1458.0,,,,1
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,1216.0,TUMKUR-CHITRADURGA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],619070 | - | -,KARNATAKA,1-04-10,2011-01-06,2013-01-12,2026-01-06,839.0,47.44,8.42,1.0,118.0,APRIL,Project_Monitoring_April_2026.xlsx,100.0,-94.3456495828367,1.0035756853396902,-98.99642431466032,737.0,4742.0,,,,1
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,246.0,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM REZ IN RAJASTHAN 20GW UNDER PHASE III- PART E2,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],611947 | N18000379 | -,RAJASTHAN,1-11-23,2023-01-11,2025-01-06,2026-01-06,428.3,428.3,415.45,0.984,66.0,APRIL,Project_Monitoring_April_2026.xlsx,98.4,0.0,96.99976651879523,-1.4002334812047792,726.0,365.0,,,,1
MINISTRY OF COAL,COAL,60.0,2.5 MTPA PATHERDIH NLW WASHERY,MINISTRY OF COAL,611017 | N06000194 | 4836,JHARKHAND,1-10-15,2016-01-04,2018-01-04,2026-01-12,334.27,334.27,162.75,0.5181,57.0,APRIL,Project_Monitoring_April_2026.xlsx,51.81,0.0,48.68818619678703,-3.121813803212973,731.0,2930.0,,,,1
MINISTRY OF COAL,COAL,139.0,2.0 MTPA BHOJUDIH NLW WASHERY,MINISTRY OF COAL,611016 | N06000195 | 4835,WEST BENGAL,1-12-15,2019-01-03,2020-01-09,2026-01-05,384.57,384.57,363.14,0.976,61.0,APRIL,Project_Monitoring_April_2026.xlsx,97.6,0.0,94.4275424500091,-3.172457549990895,371.0,2188.0,,,,1
