COLUMN,DATA_TYPE,MISSING_COUNT,TOTAL_ROWS,MISSING_PERCENT,STATUS
MINISTRY,str,0,3580,0.0,NO MISSING VALUES
SECTOR,str,0,3580,0.0,NO MISSING VALUES
SLNO,float64,0,3580,0.0,NO MISSING VALUES
PROJECT_NAME,str,0,3580,0.0,NO MISSING VALUES
AGENCY,str,0,3580,0.0,NO MISSING VALUES
PROJECT_CODES,str,0,3580,0.0,NO MISSING VALUES
STATE,str,0,3580,0.0,NO MISSING VALUES
DATE_OF_APPROVAL,str,28,3580,0.78,MISSING VALUES PRESENT
START_DATE,str,13,3580,0.36,MISSING VALUES PRESENT
ORIGINAL_TARGET_DOC,str,24,3580,0.67,MISSING VALUES PRESENT
REVISED_DOC,str,614,3580,17.15,MISSING VALUES PRESENT
ORIGINAL_COST_RS_CRORE,float64,0,3580,0.0,NO MISSING VALUES
REVISED_COST_RS_CRORE,float64,0,3580,0.0,NO MISSING VALUES
CUMULATIVE_EXPENDITURE_RS_CRORE,float64,0,3580,0.0,NO MISSING VALUES
PHYSICAL_PROGRESS_PCT,float64,0,3580,0.0,NO MISSING VALUES
SOURCE_PAGE,float64,0,3580,0.0,NO MISSING VALUES
REPORT_MONTH,str,0,3580,0.0,NO MISSING VALUES
SOURCE_FILE,str,0,3580,0.0,NO MISSING VALUES
PHYSICAL_PROGRESS_PERCENT,float64,0,3580,0.0,NO MISSING VALUES
COST_OVERRUN_PCT,float64,0,3580,0.0,NO MISSING VALUES
EXPENDITURE_PCT,float64,0,3580,0.0,NO MISSING VALUES
PROGRESS_GAP,float64,0,3580,0.0,NO MISSING VALUES
ORIGINAL_DURATION_DAYS,float64,26,3580,0.73,MISSING VALUES PRESENT
SCHEDULE_CHANGE_DAYS,float64,616,3580,17.21,MISSING VALUES PRESENT
PROGRESS_CHANGE,float64,179,3580,5.0,MISSING VALUES PRESENT
EXPENDITURE_CHANGE,float64,179,3580,5.0,MISSING VALUES PRESENT
REVISED_COST_CHANGE,float64,179,3580,5.0,MISSING VALUES PRESENT
DELAY_INDICATOR,int64,0,3580,0.0,NO MISSING VALUES
