FIELD,TYPE,ROLE,DESCRIPTION,UNIT,USE_IN_MODEL
PROJECT_ID,Identifier,ID,Unique project identifier used to track projects across months,N/A,Reference only
MINISTRY,Categorical,Feature,Central Ministry/Department responsible for the project,N/A,Yes
SECTOR,Categorical,Feature,Infrastructure sector of the project,N/A,Yes
STATE,Categorical,Feature,State or geographical region associated with the project,N/A,Yes
AGENCY,Categorical,Feature,Implementing agency responsible for the project,N/A,Yes
ORIGINAL_COST_RS_CRORE,Numeric,Feature,Original approved project cost,₹ crore,Yes
CUMULATIVE_EXPENDITURE_RS_CRORE,Numeric,Feature,Cumulative expenditure reported for the project,₹ crore,Yes
PHYSICAL_PROGRESS_PERCENT,Numeric,Feature,Reported physical progress of the project,%,Yes
START_DATE,Date,Feature,Project implementation start date,Date,Yes
ORIGINAL_TARGET_DOC,Date,Feature,Original target date of completion,Date,Yes
PROGRESS_CHANGE,Numeric,Feature,Change in physical progress between monitoring periods,Percentage points,Yes
EXPENDITURE_CHANGE,Numeric,Feature,Change in expenditure between monitoring periods,₹ crore,Yes
COST_OVERRUN_PCT,Numeric,Target,Percentage increase between original and revised project cost,%,Target
SCHEDULE_CHANGE_DAYS,Numeric,Target,Change in scheduled completion duration,Days,Target
DELAY_INDICATOR,Binary,Target,Indicator representing whether schedule delay has occurred,0/1,Target
